IDSubject,NameSubject,Credit
CSE123,Phan tich du lieu lon,3
CSE124,Hoc may,3
CSE125,Khai pha du lieu,3
CSE126,Hoc sau,2
CSE127,Tri tue nhan tao,2
CSE128,Xu ly anh,2
CSE129,Xu ly am thanh,2
CSE130,Phat trien game,2
KT567,Kinh te so,3
KT568,Kinh doanh thuong mai,3
KT569,Tai chinh tien te,2
KT570,Ke toan,3
KT571,Kinh te vi mo,2
KT572,Nguyen ly ke toan,2
KT573,Quan tri Marketing,2
KT574,Thanh toan quoc te,3
CK789,Co hoc,3
CK790,Suc ben vat lieu,2
CK791,Thiet ke may,3
CK792,Ky thuat che tao,2
CK793,Co hoc chat long,2
CK794,Dung cu va do luong,2
CK795,Thuy luc,2
CK796,Khi nen,2
