IDStudent,IDSubject,Term,Grade
2151163020,CSE133,2,2
2151163376,KT572,1,2
2151163441,KT568,1,2
2151163351,KT569,1,2
2151163037,CSE127,1,2
2151163171,CSE127,1,2
2151163718,CK801,2,2
2151163091,CSE138,2,2
2151163158,CSE138,2,2
2151163123,CSE134,2,2
2151163403,KT578,2,2
2151163347,KT579,2,2
2151163257,KT580,2,2
2151163435,KT580,2,2
2151163174,CSE130,2,2
2151163514,CK798,2,2
2151163336,KT577,2,2
2151163479,KT577,2,2
2151163628,CK803,2,2
2151163329,KT582,2,2
2151163517,CK789,1,3
2151163646,CK794,1,3
2151163263,KT572,1,3
2151163363,KT572,1,3
2151163481,KT573,1,3
2151163618,CK790,1,3
2151163676,CK790,1,3
2151163721,CK790,1,3
2151163002,CSE127,1,3
2151163187,CSE127,1,3
2151163513,CK801,2,3
2151163201,CSE133,2,3
2151163457,KT582,2,3
2151163179,CSE127,1,3
2151163258,KT568,1,3
2151163324,KT572,1,3
2151163102,CSE123,1,3
2151163266,KT567,1,3
2151163275,KT572,1,3
2151163547,CK790,1,3
2151163474,KT569,1,3
2151163598,CK791,1,3
2151163434,KT574,1,3
2151163130,CSE129,1,3
2151163090,CSE138,2,3
2151163003,CSE132,2,3
2151163029,CSE132,2,3
2151163200,CSE134,2,3
2151163300,KT576,2,3
2151163440,KT578,2,3
2151163559,CK800,2,3
2151163600,CK800,2,3
2151163344,KT575,2,3
2151163315,KT580,2,3
2151163257,KT581,2,3
2151163464,KT581,2,3
2151163482,KT577,2,3
2151163723,CK803,2,3
2151163018,CSE135,2,3
2151163025,CSE136,2,3
2151163099,CSE136,2,3
2151163577,CK791,1,3.01
2151163152,CSE138,2,3.01
2151163077,CSE132,2,3.01
2151163344,KT576,2,3.01
2151163322,KT580,2,3.01
2151163474,KT580,2,3.01
2151163040,CSE130,2,3.01
2151163271,KT581,2,3.01
2151163512,CK803,2,3.01
2151163226,CSE128,1,3.02
2151163581,CK802,2,3.02
2151163234,CSE134,2,3.02
2151163003,CSE133,2,3.02
2151163652,CK798,2,3.02
2151163577,CK799,2,3.02
2151163447,KT582,2,3.02
2151163737,CK791,1,3.03
2151163129,CSE138,2,3.03
2151163430,KT581,2,3.03
2151163572,CK799,2,3.03
2151163449,KT572,1,3.04
2151163627,CK801,2,3.04
2151163441,KT576,2,3.04
2151163052,CSE133,2,3.04
2151163748,CK800,2,3.04
2151163034,CSE130,2,3.04
2151163531,CK799,2,3.04
2151163354,KT582,2,3.04
2151163485,KT570,1,3.05
2151163719,CK790,1,3.05
2151163705,CK797,2,3.05
2151163014,CSE138,2,3.05
2151163025,CSE138,2,3.05
2151163236,CSE133,2,3.05
2151163331,KT575,2,3.05
2151163407,KT581,2,3.05
2151163119,CSE135,2,3.05
2151163240,CSE137,2,3.05
2151163433,KT570,1,3.06
2151163448,KT570,1,3.06
2151163417,KT571,1,3.06
2151163523,CK790,1,3.06
2151163596,CK802,2,3.06
2151163085,CSE134,2,3.06
2151163463,KT576,2,3.06
2151163537,CK800,2,3.06
2151163518,CK803,2,3.06
2151163148,CSE137,2,3.06
2151163188,CSE127,1,3.07
2151163095,CSE128,1,3.07
2151163061,CSE129,1,3.07
2151163547,CK801,2,3.07
2151163015,CSE132,2,3.07
2151163098,CSE133,2,3.07
2151163498,KT578,2,3.07
2151163407,KT575,2,3.07
2151163476,KT579,2,3.07
2151163095,CSE130,2,3.07
2151163644,CK799,2,3.07
2151163476,KT570,1,3.08
2151163354,KT571,1,3.08
2151163276,KT573,1,3.08
2151163419,KT573,1,3.08
2151163431,KT573,1,3.08
2151163585,CK791,1,3.08
2151163110,CSE129,1,3.08
2151163041,CSE134,2,3.08
2151163370,KT575,2,3.08
2151163292,KT580,2,3.08
2151163365,KT569,1,3.09
2151163699,CK802,2,3.09
2151163238,CSE138,2,3.09
2151163596,CK804,2,3.09
2151163286,KT580,2,3.09
2151163093,CSE135,2,3.09
2151163388,KT582,2,3.09
2151163218,CSE137,2,3.09
2151163570,CK789,1,3.1
2151163562,CK793,1,3.1
2151163661,CK793,1,3.1
2151163677,CK793,1,3.1
2151163576,CK794,1,3.1
2151163151,CSE124,1,3.1
2151163103,CSE126,1,3.1
2151163022,CSE125,1,3.1
2151163089,CSE125,1,3.1
2151163442,KT573,1,3.1
2151163729,CK791,1,3.1
2151163707,CK795,1,3.1
2151163602,CK801,2,3.1
2151163081,CSE132,2,3.1
2151163452,KT577,2,3.1
2151163573,CK799,2,3.1
2151163729,CK803,2,3.1
2151163157,CSE135,2,3.1
2151163157,CSE136,2,3.1
2151163600,CK794,1,3.11
2151163608,CK794,1,3.11
2151163734,CK794,1,3.11
2151163068,CSE130,1,3.11
2151163443,KT568,1,3.11
2151163668,CK791,1,3.11
2151163633,CK802,2,3.11
2151163383,KT575,2,3.11
2151163227,CSE130,2,3.11
2151163267,KT577,2,3.11
2151163625,CK793,1,3.12
2151163627,CK794,1,3.12
2151163004,CSE130,1,3.12
2151163037,CSE124,1,3.12
2151163407,KT568,1,3.12
2151163673,CK790,1,3.12
2151163371,KT574,1,3.12
2151163273,KT579,2,3.12
2151163352,KT581,2,3.12
2151163666,CK799,2,3.12
2151163576,CK803,2,3.12
2151163673,CK803,2,3.12
2151163190,CSE135,2,3.12
2151163628,CK789,1,3.13
2151163657,CK793,1,3.13
2151163136,CSE124,1,3.13
2151163027,CSE126,1,3.13
2151163069,CSE126,1,3.13
2151163453,KT568,1,3.13
2151163481,KT571,1,3.13
2151163455,KT572,1,3.13
2151163301,KT573,1,3.13
2151163696,CK795,1,3.13
2151163103,CSE129,1,3.13
2151163436,KT578,2,3.13
2151163553,CK800,2,3.13
2151163331,KT579,2,3.13
2151163705,CK798,2,3.13
2151163048,CSE136,2,3.13
2151163208,CSE136,2,3.13
2151163700,CK793,1,3.14
2151163614,CK794,1,3.14
2151163637,CK794,1,3.14
2151163243,CSE130,1,3.14
2151163611,CK792,1,3.14
2151163700,CK792,1,3.14
2151163492,KT572,1,3.14
2151163262,KT573,1,3.14
2151163603,CK791,1,3.14
2151163110,CSE132,2,3.14
2151163125,CSE134,2,3.14
2151163324,KT578,2,3.14
2151163077,CSE130,2,3.14
2151163105,CSE135,2,3.14
2151163233,CSE135,2,3.14
2151163123,CSE137,2,3.14
2151163070,CSE130,1,3.15
2151163183,CSE124,1,3.15
2151163514,CK792,1,3.15
2151163557,CK792,1,3.15
2151163746,CK792,1,3.15
2151163165,CSE128,1,3.15
2151163187,CSE128,1,3.15
2151163583,CK797,2,3.15
2151163643,CK802,2,3.15
2151163123,CSE133,2,3.15
2151163637,CK798,2,3.15
2151163557,CK793,1,3.16
2151163621,CK794,1,3.16
2151163671,CK794,1,3.16
2151163471,KT568,1,3.16
2151163351,KT570,1,3.16
2151163420,KT570,1,3.16
2151163401,KT571,1,3.16
2151163339,KT572,1,3.16
